日本工営	誠意をもってことにあたり、技術を軸に社会に貢献する。
セキュアード・キャピタル・ジャパン	当社グループは、主に不動産及び不動産担保債権等を投資対象とする各種ファンドの運用を通じ、国内外の顧客投資家に対し優れたリスク調整後投資収益を提供しうる専門性の高い投資顧問及びアセットマネジメント会社として活動することを使命とする。当社グループは、常に顧客投資家に対するフィデューシャリー（受託者）責任を意識し、投資顧問業務の基本原則に忠実にその業務を遂行するものとし、当社及びグループの業務に適用のある一切の法令及び規則を遵守するものとする。当社グループは、投資顧問業者に求められる高度の廉潔性及び倫理基準を常に維持し、利益相反や反社会的勢力との取引や関与を排除すべくあらゆる努力をするものとする。当社グループは、グローバルな視野を維持し、我が国の産業・金融の構造的変化及び市場の変化に伴い生ずる多くの投資機会を的確に捉えるとともに、その発掘及び開拓に積極的に取り組み、顧客投資家に対し優れた投資収益を提供すべく努力するものとする。
新日本科学	  環境、生命、人材を大切にする会社であり続ける。
ディー・エヌ・エー	世界を切り拓く永久ベンチャー
博報堂ＤＹホールディングス	1. 広告主に対して、常に最善のサービスを提供し、ビジネス価値の向上に貢献する。2. メディアの革新と向き合い、メディア価値の向上に貢献する。3. 世界的にネットワークを展開し、サービス網の充実をはかる。4. 生活者から発想することで、人々の次世代の豊かさを創造し、社会の発展に寄与する。5. 自由と自律を尊重し、多様な個性とチーム力を価値創造の源泉とする。6. 競争と協調の精神で、新しい挑戦を続け、世界一級の広告会社グループを目指す。7. 企業価値の継続的な向上をはかり、株主からの信頼と期待に応える。
ぐるなび	“日本発、世界へ”「色」に繊細なこだわりを持つ国民性を生かし、日本ならではのオリジナリティあふれるビジネスを展開します。1. 私たちは顧客の満足を第一に考えます。飲食店をはじめとする食関連事業者に対して、データベースをフルに機能させた有益なサービスを提供します。ネットユーザーに対して、楽しさあふれる「食」の最新情報を日々提供します。2. 私たちは社員が夢を持って働ける職場環境を考えます。常に社員が進化（※）しながら、夢を持って働ける職場をつくります。家族に対する責任を十分に果たすことができるよう配慮します。成果と能力が公正に評価され、自由に提案できる環境をつくります。3. 私たちは常に社会性を重んじ、社会への貢献を考えます。社会に向けて、楽しく、豊かな食生活を提案します。世界に向けて、日本からの新しい食文化を発信します。ネット事業を通して、社会の発展に貢献します。4. 私たちは健全な事業利益と株主への正当な報酬を考えます。革新的な研究開発・企画開発を行い、新たな試みを実践し、失敗は必ず償います。新サービスを次々に市場に導入し、逆境に備えての蓄積を行います。その結果として、株主への正当な報酬を約束します。
一休	インターネットに新しい風を。世の中に大きなインパクトを。そして、人々の心にうるおいを。株式会社一休は、現状に満足することなく、常に社会に役立つ新しい価値を創造し続けます。
ジャパンベストレスキューシステム	「困っている人を助ける！」私たちは「困っている人を助ける！」企業活動を通じてより多くの“ありがとう”という感動をお届けいたします。私たちは“ありがとう”という感謝の気持ちを持ち、行動します。私たちは、お客様に“ありがとう”と言って頂ける安心・安全・快適なサービスを提供できるよう、行動します。 私たちは、ＪＢＲに携わる人の「夢の実現」・「幸福の追求」のために行動します。
ジェイコム	先進ネットワークによって、映像、音声、高速インターネットサービスとデジタル化がもたらす大きな可能性を、お客さまのニーズに応えた良質な商品として提供することにより、お客さまに豊かな生活を実感していただくことが重要な使命だと考えています。私たちは、お客さまや各地域コミュニティーとの間の緊密な信頼関係を事業の基盤とし、この大切な財産を更に育んでまいります。私たちは、地域サービス事業者としての信頼に応え、事業の健全な成長を図り、事業活動の成果を地域社会、株主、従業員に広く還元し、社会的責任を積極的に果たしていくエクセレントカンパニーへの飛躍をめざします。
パシフィックゴルフグループインターナショナルホールディングス	One PGMお客様のために、私たちはひとつになる。
イーピーエス	私たちはアウトソーシングビジネスを通して、より豊かな人間社会の実現に向け未来を創造し続けます。
ＴＡＣ	プロフェッションの養成を通して社会に貢献TACの企業理念は、“プロフェッション”としての人材の養成です。プロフェッションprofessionとは、英語のprofess=「神の前で宣言する」を語源とし、中世ヨーロッパでは神に誓いを立てて従事する職業として、神父や法律家、会計士、医者、教師、技術者などの知識専門家を指していました。そして神の詔命によってプロフェッションとなった人々には、社会や市民に対する大きな責任と厳しい倫理観が求められました。21世紀を迎え新たな時代を拓かなければならないわが国にあって、TACは既存のプロフェッションの養成だけではなく、時代が求める新しいプロフェッションの創造を通して社会に貢献していく「プロフェッション創造企業」でありたいと考えています。
ケネディクス	変化するマーケットに挑み続けることで、不動産のリーディング・アセットマネジメント・カンパニーの地位を築きます。
電通	「その手があったか」 と言われるアイデアがある。「そこまでやるか」 と言われる技術がある。「そんなことまで」 と言われる企業家精神がある。私たちは3つの力でイノベーションをつくる。人へ、社会へ、新たな変化をもたらすイノベーションをつくってゆく。Good innovation
テイクアンドギヴ・ニーズ	「人の心を、人生を豊かにする」「社員と企業の成長」「感動商品づくり」「環境」
ぴあ	ぴあでは創業26周年を迎えた'98年、それまで社風として共有化されていた創業時よりの理念を、「PIA IDENTITY」という形にまとめました。「ぴあの理念」「ぴあ人とは」「仕事への姿勢」は、PIA IDENTITYを構成する3つの要素です。ぴあの理念とは、ぴあで働く私たち全員が理解・共有すべきぴあの社会的存在理由を記したものであり、ぴあの企業活動、私たちの行動指針の源となるものです。ひとりの人間の人格は、「経済性」と「趣旨性」の内容とバランスとによって形成されていると考えます。「経済性」は物質的な豊かさ、金銭を指し、「趣旨性」は「こうあるべし」といった物事の考え方を指しています。「経済性」、「趣旨性」のいずれか片方だけで生きていくというのは決して不可能ではないのかもしれませんが、大変稀なことです。ほとんど多くの場合、あたかも「経済性」と「趣旨性」が車の両輪であるかのように、しかもその時々で片方の車輪の直径が大きくなったり、もう片方が小さくなったり、あるいはその反対だったりしながら、つまり蛇行しながら前へ進んで行き、そしてその蛇行の軌跡こそが人生なのです。同様に、人格を持った人間の集団である企業(会社)にあっても、社格というものがあってもよいのではないでしょうか、というよりあるべきなのではないでしょうか。企業にとって「経済性」とは利益そのものであり、「趣旨性」とはその企業が企業活動を通して求める、あり得べき社会の理想の姿についての考え方です。「経済性」と「趣旨性」のバランスを取り、蛇行前進しながら大きな発展を遂げることを、ぴあの理念としたいと思います。
イオンファンタジー	遊びを通じて、夢と楽しさとふれあいを提案し、地域社会に奉仕しよう
ネクシィーズ	私たちネクシィーズ・グループは、優れた価値をより良く社会に広め、人と企業が生み出す創造的な価値の向上をどこまでも追及します。
みらかホールディングス	みらかグループは、製品とサービスにおける新しい価値の創造を通じて、健康で豊かな社会づくりと世界の医療に貢献します。
サニックス	仕事が教育で、教育が経営である　サニックスは、創業以来一貫して「汚いところをきれいにする。不潔なところを清潔にする」という企業使命を掲げ、一般家屋から、ビル・マンション、オフィス、レストランなど、快適な環境衛生づくりに取り組んでまいりました。さらに、１９９４年には、産業廃棄物の再資源化・減量化・無害化事業に参入し、静脈産業の必要性、重要性を強く意識した事業展開を推し進め、地球環境にまで業務領域を広げております。　お届けする商品やサービスが、「快適な環境」というかたちのないものだからこそ、プロ集団の総合力で、多様化するニーズにお応えしていきたい ―「仕事が教育で、教育が経営である」という経営理念のもと、豊かな創造力と人間性を備えた人材の育成に取り組んでおります。　わたしたちは、常に「これから」を見つめ、次世代の快適な社会環境づくりに貢献してまいります。
日本空調サービス	『お客様に安心感を与える最適な環境を維持するために、技術力と人的資源を結集させ、高品質サービスを提供する』
オリエンタルランド	自由でみずみずしい発想を原動力にすばらしい夢と感動ひととしての喜びそしてやすらぎを提供します。
ダスキン	経営理念を大切に、人に社会に「喜びのタネまき」を。ダスキンは、利益追求のみならず、世の中の人に喜ばれる「喜びのタネまき」を実践し、地域の人々と喜びを分かち合い、物も心も豊かな暮らしに貢献することで、継続的な企業価値の向上を実現します。
明光ネットワークジャパン	教育・文化事業への貢献を通じて人づくりを目指す。フランチャイズノウハウの開発普及を通じて自己実現を支援する。当社は上記2つの経営理念を掲げ、「民間教育企業」そして「自己実現支援企業」としての役割を果たすことで社会に貢献し、社会からその存在を認められる社会的存在価値の高い企業に成長していきます。
ファルコバイオシステムズ	生命と健康に関わる情報、技術、サービスで社会に貢献。医療機関、製薬会社をはじめ地方自治体や食品会社など、生命と健康に関わる社会活動の担い手として活躍される方々を多面的にサポートするためのインフラを構築し、健やかな長寿社会の実現と予防医学の発展に貢献してまいります。
秀英予備校	一、生徒・父母の要求に応えることができる予備校運営をもって社会に貢献し、企業としての発展をはかる。二、自分自身の世界観・人生観・ロマンを持ち、熱い心で生徒・父母と接点を持つ。三、仕事のやりがいを促進する自由で風通しのいい社風を大切にする。また、自己の役割に責任感を持つ。
田谷	田谷の社員は、お客様にご満足をお届けするための基本となる16項目のサービスを心がけ、お客様の要求に適合する人・物・心・システムが一体となった“真のサービス”の実現をめざして邁進しています。そのベースとなるのは、すべての人に夢を与え、夢を創造し、夢を追いかける一人一人の姿勢。私たちはこの姿勢をいつまでも大切にし、21世紀にますます輝きを増す“夢へのビジネス”を追求していきます。 
リゾートトラスト	リゾートトラスト株式会社は、「夢と感動とやすらぎ」を提供し、最上のホスピタリティの実現のために、会員制リゾート事業をはじめとするさまざまな事業活動を通じて、常に価値あるサービスを提供することに努めています。私たちは、それらを実現するための企業行動が、地球環境に様々な影響を与えていることを認識し、環境との調和を図り、社会との共生に努めながら、社会や地球環境に貢献します。 
ビー・エム・エル	健康で心ゆたかな生活を営むためには、美しい自然に恵まれた地球環境が不可欠です。『豊かな健康文化を創造する。』を企業理念に掲げるビー・エム・エルは、これまで臨床検査、環境検査ならびに食品検査事業等を通じて人々の健康をサポートしてきましたが、健康の原点となる環境についても高い意識をもって企業活動を行い、すべての人々の健康と地球環境の保全のために積極的に貢献します。 
ワタベウェディング	私たちは「世界最高のブライダル企業を目指します。」を合言葉に、国内においては、「美しいかどでの日」を迎えられる全てのお客様にお喜び頂ける様、事業領域の拡大に努めてまいりました。また、海外においては、1973年に業界初の出店（ホノルル店）を皮切りに既に30拠点以上を数え、今後も増え続ける海外進出にあって『世界のお客様に対して最高のご満足、最高の感動をどのようにして実践できるか』を常に考えながら、「日本のワタベウェディング」から「世界のワタベウェディング」へとグローバルな視点で飛躍してまいります。
もしもしホットライン	より豊かな情報化社会に貢献し 会社の発展を通じ 従業員とその家族の幸福および 株主の利益に寄与すること......
リソー教育	「違い」からの出発。十把一絡げの教育から、「個性」教育へ。十把一絡げの日本の教育が今、曲がり角に差し掛かっていることは、誰の目にも明らかです。戦後50年の教育が最も重視してきたものは、国民の教育水準を全体として均等に押し上げることでした。そしてその背景には、教育を、産業振興の基礎として位置づけた思想がありました。時代は今、「自分らしさ」の大切さにようやく気づき、立ち返ろうとしています。何かに突き動かされるように闇雲に働き続けることの空虚さに、ふと立ち止まって自分を振り返る、そして、自分らしく生きることを希求する……こんな時代の曲がり角に、「個性」を育む教育が、時代の要請として求められています。一人ひとりが違う人間であることを認め合い、そこから出発するような教育。すなわち、「違い」を基礎として位置づけた教育思想の復活です。そしてこの思想は、当社の設立当初からの理念でもあります。
ウェアハウス	ウェアハウスは「プロの商人」を目指す集団として、すべてのステークホルダーの幸せのために行動します。
ユー・エス・エス	中古車流通市場を公正で透明性の高いものにするため、さまざまなソリューション（解決策）を提案、市場原理に立脚した新しい「商いの場」を提供し、業界全体の社会的地位の向上に努めてまいります。
東京個別指導学院	歴史上の偉大な出来事それはみなある一人の頭の中の思いつきや夢から始まっているそして我々は同じような可能性と能力を持っている人々の夢が社会を変え時代をつくる私はそう信じているそして、子どもから大人まですべての人たちにこの夢を持つことの大切さを教えていきたいと考えている
カルチュア・コンビニエンス・クラブ	私たちが、「TSUTAYA」のビジネスを企画した時、もっともわかりやすく、かんたんに、ヒトに伝えられるキーワードが、カルチュアを「いつでも」「どこでも」「だれにでも」というコンセプトでした。それから二十余年。私たちは、セレクトする本、映画、音楽などのエンタテイメントやショッピング、ドライブ、ペット、クッキング、トラベルなどの生活シーンに「自分らしさ」＝「My Style」を求めるようになりました。企画を通じ、何気ない日常にさまざまな彩りを。CCCは、My Styleを持つ人々が、それらを選べる場所、サービスを、あらゆる生活シーンに向け、幅広く提案していきます。 
テー・オー・ダブリュー	１．人と人とのコミュニケーションツールとしてのプロモーションを　　研究・発表・実施していく。２．プロモーション業界の社会認知と発展に寄与する。３．社員を財産として考え、個性を尊重し、チームワークを大切にする。
セントラルスポーツ	「0歳から一生涯の健康づくりに貢献する」を企業理念に皆様の“心と体の健康づくり”をサポートします。
フルキャストホールディングス	すべての人を一番輝ける場所へフルキャストグループの基本理念は、「人間としての成長を重視した雇用創造を通して社会貢献すること」です。人には輝く場があり、その輝きは人を幸せにします。私たちは、働く方々一人ひとりの可能性をひきだす就業機会を創造することで、すべての人をいちばん輝ける場所へ導きたいと考えています。 
リゾートソリューション	あなたのオフを、もっとスマイルに。革新的な発想と行動力で、リゾートをベストソリューション紙、社会に貢献する。それが私たち、リソルの使命です......
エイチ・アイ・エス	ツーリズムを通じて、世界の人々の見識を高め、 　国籍、人種、文化、宗教などを超え、世界平和・相互理解の促進に貢献する。
ベンチャー・リンク	中小企業の活性化こそが、日本の地域経済の発展につながるベンチャー（中小）企業同士をリンクさせて、新しい価値を創造する企業と企業、商品と販路、企業と人財、企業と新規事業を結びつけて、今までに無い新しい価値＝事業を創造する。それを通じて日本の中堅中小企業の活性化を図り、如いては日本の自由主義社会の発展を実現する。
イチネンホールディングス	『人と社会にここちよい安全・安心と優しい環境を創る』
建設技術研究所	世界に誇れる技術と英知で、安全で潤いのある豊かな社会づくりに挑戦する。この理念を実現するため、健全な企業経営のもと、全役職員が具体的かつ実効性のある配慮行動をとるための決意を行動憲章として策定しました。
燦ホールディングス	私たちは、葬儀の全国ネットワーク展開と葬儀後のご家族の最良のパートナーとしてのライフサポートの実施を「10年ビジョン」として掲げ、その実現に取り組んでまいります。
スバル興業	当社は創業以来、「社会に奉仕すること」を企業理念として、レジャー事業、道路事業、不動産事業の経営を行っており、映画興行と飲食店経営を通して豊かな生活を提供するとともに、道路の維持管理を通して生活環境整備事業の推進を図りながら、社会の発展に一層貢献することを基本的な考え方として事業活動を進めております。 
東京テアトル	スタイリッシュ コンフォート＆ハートフル エンターテインメント～洗練された快適さや心に残る楽しさの創造により、楽しみや快適さを求める、より多くの人々の心を満たすヒューマン・コーポレーションを目指します。
吉本興業	我が社の社員の幸せは、自らが楽しんで生きることで、社会に貢献し、人々を幸せにすることである。我が社の社会への責任は、人々や自分自身が笑顔や笑い声を、いつも持てるようにすることである。
ホリプロ	「文化をプロモートする人間産業」
常磐興産	顧客主義、人間主義、品質主義
カナモト	四十余年にわたり培ったカナモト・スタイルさらなる可能性を求め、これからも。 カナモトの成長は、日本の建機レンタル業界の発展と軌を一にしてきました。市場ニーズに対応する機種、品質管理、供給チャネルのほか、時代に即して開発してきたカナモトの最先端ビジネスモデルは、お客様の経営合理化に寄与しています。お客様の満足をさらに高めるため、カナモトはこれからもレンタルソリューションの可能性を追求していきます。
東京ドーム	企業目的：「私たちは、人とひととのふれあいを通して、お客様と『感動』を共有し、豊かな社会の実現に貢献します」東京ドームが目指すもの：東京ドームは、企業目的のもと、いつの時代にも他に先駆けて様々なレジャー施設とサービスを多くの人びとに提供してきました。これからも、お客様に心から楽しんでいただける都市型レジャーを追い求め続けることを社会的な使命ととらえ、レジャー・サービス業のリーディングカンパニーとして、限りなく前進していきます。
トランス・コスモス	お客様企業の満足の大きさが当社の存在価値の大きさ。真にお客様志向のアウトソーシングサービスを目指します。
乃村工藝社	われわれは、人間尊重に立脚し 新しい価値の創造によって 豊かな人間環境づくりに貢献する
近畿日本ツーリスト	「KNTは世界中の人々の出会いと感動を創造し、笑顔あふれる社会の実現にチャレンジしていきます。」上記理念を実現するために、「お客さまへのお約束」そして「社員の行動指針」としてブランドステートメントを策定しました。
白洋舎	白洋舎グループは、人々の清潔で快適な生活空間づくりのために、たゆまぬ技術革新と感動を与えるサービスを提供し、社会に貢献することを経営理念としています。　この経営理念を達成し、グループ各社を存続させ発展させると同時に、事業活動による環境負荷を低減することは、持続可能な社会づくりに貢献するものと確信しています。　そこで、地球の自然環境と地域社会の安全を守り、健康で快適な生活の増進に貢献するという経営ビジョンに向け、自然との調和を図るために、グループ各社が環境に直接的並びに間接的に影響を及ぼす活動について、環境マネジメントシステムを構築・推進して継続的に改善を図り、環境に配慮した活動を推進することを宣言し、以下の環境方針を定めます。
セコム	「セコムの要諦」は、1983年12月に新たに制定されました。　この「セコムの要諦」は、1962年の創業以来培われたセコムの行動原理を基盤として、セコムグループの発展と社員の人間的成長を達成するための共通の理念です。    1.セコムは、安全文化を創造する。    2.セコムは、常に新しく革新的である。    3.セコムは、自らの手で自らを変化させ、誰もが変革の担い手である。    4.セコムは、よく考える集中力と、より早く行動する習慣を育む。    5.セコムは、強靭な意思と明快なシステム思考を重視する。    6.セコムは、妥協を排し、正しさを追求する。    7.セコムは、最高の安全を提供する。    8.セコムは、顧客に心の平和を与える。    9.セコムは、プロフェッショナルであることを真価とする。    10.セコムは、可能性に挑戦する。
セントラル警備保障	「仕事を通じ社会に寄与する」「会社に関係するすべての人々の幸福を追求する」
丹青社	「丹青」は「丹精をこめる」ことにも通じ、「社会交流空間づくり」に心を込め丁寧に携わる丹青社の一人一人が心に刻む言葉でもあります。赤と青には「情熱と英知」などの意味も重ねながら、企業マークでも力強い均整のなかに２色を表現してシンボライズしています。 
メイテック	経営理念・方針：共生と繁栄　基本的概念：メイテックグループが行うEO事業を通して経営資源（人・情報）を社会的に共有することにより、産業界と主に発展していく......
アサツー　ディ・ケイ	“全員経営”というフィロソフィー。“全員経営”とは個々の社員が経営者的視点に立ち、個性と能力を最大限に発揮してクライアントに貢献することです。
応用地質	人と自然の調和を図るとともに安心と安全を技術で支え社業の発展を通じて社会に貢献する
船井総合研究所	明日のグレートカンパニーを創る社会的価値の高い「理念」のもと、その「企業らしさ」を感じさせる独特のビジネスモデルを磨き上げ、その結果、持続的成長を続ける会社のことです。そして、社員と顧客が「素晴らしい会社」と誇りを持つくらいの独特のカルチャーが形成されている企業を、我々はグレートカンパニーと定義します。
進学会	スローガン：未来への創造、可能性への挑戦 
イオンディライト	私たちは、お客様、地域社会の「環境価値」を創造し続けます。私たちが考える環境価値とは、企業の経営環境における価値、企業のお客さまの利用環境における価値、そこで働く社員の職場環境における価値、地域社会における価値の全てを含みます。私たちは環境価値を創造することで、喜び、輝き、心の豊かさといったディライトを提供いたします。そのために、私たちは安全・安心・清潔・快適を常に進化させ、「夢のある未来」に向かって歩んでまいります。
ナック	企業は損得に非ず 常に善の道を歩み広く社会に貢献する為発展成長を第一義とすべし     　
ニチイ学館	私たちは誠意を以て社会参加の信条とし、社業の社会的使命を弁え、誇りをもって行動し、若々しい情熱で限りない未来への可能性に挑戦します。そして、社業の発展を通して豊かな人間生活の向上に貢献します。......
ダイセキ	優れた経営理念は、実績に結びつく！一つの発想が湧いてくれば、それに対して種々構想を練り、実現のための組織、その他の構造を組み立てます。そして実行に移します。
新日鉄ソリューションズ	新日鉄ソリューションズは、情報技術のプロフェッショナルとして、真の価値の創造により、お客様との信頼関係を築き、ともに成長を続け、社会の発展に貢献していきます。
コア	コアグループは、お客様に全方位展開で提供するITサービスに、信頼と安心、継続的なイノベーションとを伴わせ、存在意義あるテクノロジスト集団であり続けたいと考えております。この実現のため、企業価値増大に向けてキャッシュ・フローを確保し続け、継続的な会社の発展を推進して参りました。それとともに、創立より30年の過程において、社員一人ひとりが高い価値観と倫理観を共有し、事業を展開する諸所の法令や規範を遵守することが前提との認識を持って、ビジネスに臨んできました。コアグループは利益の追求を目標としたテクノロジスト集団であるとともに、グローバル社会の中での１つの小社会であり、人として企業としてあるべき精神的態度を備え、エクセレントカンパニーに相応しいコンプライアンス経営の実現が不可欠だと認識しております。こうした考え方の集約と表明として、2002年1月に「企業行動憲章」「企業行動基準」を制定し、これを企業行動の指針として定めました。コアグループは、このような行動の実践をコンプライアンスと認識しております。私たちは、コアグループの社員一人ひとりに広くこの考え方の浸透を促すことで、ルールの遵守とともに各人の自主性を大切にし、その総和が本当の意味での自由闊達な企業行動を醸成していくものと確信します。コアグループを代表するものとして、まず私たち両名が率先垂範することをここに宣言します。私たちのあとに続き、コアグループの全社員がコンプライアンスを自らのものとし、日々の行動実践に表していくことを願って止みません。
ＩＴホールディングス	ＩＴホールディングスグループは、ＩＴを通じた様々なサービスの提供によりリーディング企業グループにふさわしい企業市民となり、お客様、社員とその家族、株主などすべてのステークホルダーから評価いただける企業価値の向上を目指します私たちは、グループの企業と社員が共に高く新しい目標にチャレンジする活力ある企業カルチャーを醸成し成長を続けます私たちは、グループ力を結集し優れた技術力と品質により、常に最適をお客様に提供いたします私たちは、高い企業モラルを堅持し、社会的責任を果たしていきます
コーエーテクモホールディングス	当社グループは、「お客さま第一主義」の視点に立ち、卓越したアイディアと遊び心を織り交ぜた独創的なエンターテインメントの提案を行うことで、世界中の人々の明るく、楽しく、豊かな暮らしの実現に貢献することを経営の基本理念としております。また、今後大きな時代の節目を迎えるコンテンツ業界の中で、強固な地位を築くための変革を加速し、お客さまや株主の皆さまから期待と信頼を寄せられる企業として、長期安定的な発展を目指してまいります。その実現には以下の基本方針をもってあたります。
ドワンゴ	『ネットに生まれて、ネットでつながる。』
ベリサーブ	試験、検査という行為のみに留まらず、広く検査方法の検討・設計、検査結果の判定、検査方法の評価など検証にまつわるすべてを提供していく。
マクロミル	マクロミルは「企業と消費者の､より密接なコミュニケーションの実現」と「誰もが手軽に使えるマーケティングリサーチシステムの提供」を目指します。
ティーガイア	我々は、社会の夢と豊かさの実現に貢献し、「明日」に向かって「誠実」に「挑戦」し続けます。
ＧＭＯペイメントゲートウェイ	社会の進歩発展に貢献する事で、同志の心物両面の豊かさを追求する    市場を開拓・創造する強い意思と誠実かつ公明正大な事業展開により、社会の進歩発展に貢献します。    同志とは、信じあえる高潔な役職員、お客様、及びお取引いただいている事業関連者を指します。    当社役職員は、豊かな心、真の問題解決力、高い専門性を発揮し、お客様と価値の交換を行う事により、心物両面の豊かさを追求します。
ザッパラス	「個」を尊重する一括りの「顧客」としてではなく、一人ひとりが違う個性であることを尊重します。顔の見えないお客様だからこそ、知り得る情報から個々の望みを推測し、興味を持っていただける商品やコンテンツをお勧めします。「なぜ私に？」に答えられるサービスを目指します。「縁」を大切にする安易な安売りやその場限りのインセンティブ、過剰なプロモーションなどによって、１度限りのお客様を増やすのではなく、価値ある商品やコンテンツを提供することで、繰り返し長く取引していただける関係づくりを目指します。「環」を創造する単に安いだけの商品ではなく、付加価値の高い商品を扱う。商品がもつ背景（ストーリー）をきちんと伝え、価値に見合った価格での販売を行うことにより、お客様・作り手、そして売り手である私たちそれぞれが満足し、次につながる商流を創造します。
インターネットイニシアティブ	IIJは、お客様と共に、新しいネットワーク社会を切り拓くことに貢献していきます。
ソネットエンタテインメント	私たちは「ネットワークを楽しくする会社」として、便利で楽しく、夢のあるネットワーク・エンタテインメントをみなさんに提供していきたいと考えています。
ＳＲＡホールディングス	SRAグループは創業以来「自らの職業的実践を通じ、コンピュータサイエンスの諸分野を発展させ、それによって人類の未来に貢献する」という企業理念に基づき、グループ各社の得意分野を活かしつつ、 ITによる社会変革・未来発展に貢献しています。 
ＪＢＩＳホールディングス	1. 金融・証券・公共・産業・文教といった全ての分野における重要なインフラを
担うという社会的使命にコミットします
2. お客様第一主義の徹底によって、お客様の立場に立った使い易いソリューション・
サービスをタイムリーに提供します
3. 常に最先端のソリューション・サービスを追及し、幅広いビジネスパートナー
と協業する開かれた企業集団となります
4. 社内改革を推進し、経営の安定と継続的成長に基づく企業価値向上に努めます
朝日ネット	交流と創造
パナソニック電工インフォメーションシステムズ	私たちは、ユーザーフレンドリーの追求、ハイテク・マインドの徹底、チャレンジ精神とスピード感あふれる行動により、新しい価値の創造に邁進します。
フェイス	「オーダーメイドシステムならフェイス」そう呼ばれるために、私たちは常にお客様のニーズに応える新しいサービスを提供してまいります。世界初の相性保証やシステムの永久アップグレード保証は、お客様の声から生まれたフェイスのオリジナルサービスです。お客様の立場に立って物事を考える。簡単そうでいて、とても難しいことに私たちは取り組んでいきます。 
野村総合研究所	NRIグループは、「使命」「事業ドメイン」「経営の目標」「行動指針」の4つを柱とした企業理念を掲げています。
サイバネットシステム	私たちは高付加価値、高品質のサービスをもって、満足度の高い“ソリューション”を提供し、顧客と社会の発展に寄与する。
インテージ	地球社会の明日を拓く「知」の創造
シンプレクス・テクノロジー	「イノベーションを世界へ」
ソースネクスト	ソースネクスト株式会社 最高戦略は、コーポレイト・アイデンティティの確立のため、弊社が目指す未来永劫、不変の企業目標として、1997年に明文化、制定したものです。あらゆる機会を通じて社内で共有を図り、その実現を目指しています。
クレスコ	　私たちは「メインＩＴソリューション・パートナーを目指す」こと、「ワンストップ・ソリューションを提供する」ことの２つをビジョンとして掲げ、将来に向け社員一丸となって精進して参ります。
フジ・メディア・ホールディングス	フジ・メディア・ホールディングスは、グループ各社がこれまでに培ってきた実績を基礎に、放送事業を中核とする幅広い分野の事業を展開する新たなメディア・グループとして、国内外から高く評価される我が国を代表する｢メディア･コングロマリット｣を目指します。
